[1:4]	[3:5]
43.9295	0.00308257
43.9818	-0.0197017
44.0287	0.00267988
44.015	-0.00753999
44.1493	0.000135601
44.1493	-0.00912917
44.1897	-0.00598061
44.0821	-0.011189
44.2107	0.00837022
44.2229	-0.0197635
44.1844	0.00421208
44.0665	-0.00978053
44.126	-0.00741303
44.176	0.00239033
44.0573	-0.0196018
44.0272	0.00672871
44.0177	-0.0122691
43.9456	-0.00163901
43.8727	0.00453418
43.8071	-0.0357372
43.8449	0.01503
43.7701	-0.0219523
43.6068	0.00801128
43.727	-0.00682604
43.7384	-0.00918245
43.7239	-0.00864273
43.5904	-1.01328e-005
43.6843	-0.00957924
43.8151	0.00025028
43.7537	-0.0078283
43.6984	-0.000732064
43.7945	-0.0201648
43.8838	0.00542498
43.8857	-0.00288588
43.8845	-0.00639111
43.9414	-0.00797993
44.0642	-0.0123236
44.0337	0.00234896
44.0272	-0.00139928
44.1828	-0.00836349
